,Seer,Villager1,Villager2,Mason1,Mason2,Minion,Tanner,Werewolf
Baseline,0.0551544324107501,0.08604091456077016,0.08604091456077016,0.05555555555555555,0.05555555555555555,0.12876052948255115,0.2567188126754914,0.22101885278780586
B5P,0.046197874080130825,0.10241210139002453,0.10241210139002453,0.056418642681929684,0.056418642681929684,0.11529026982829109,0.33197056418642684,0.142681929681112
Favor,0.07569640694388373,0.11727896649172385,0.11727896649172385,0.08760597496972143,0.08760597496972143,0.12394025030278563,0.17924909164311667,0.13564796124343964
Strategy,0.06363636363636363,0.06067653276955603,0.06067653276955603,0.0427061310782241,0.0427061310782241,0.15898520084566597,0.3023255813953488,0.20465116279069767
Full,0.0575831305758313,0.08029197080291971,0.08029197080291971,0.05596107055961071,0.05596107055961071,0.20113544201135442,0.1978913219789132,0.21330089213300893
