,seer,villager1,villager2,mason1,mason2,minion,tanner,werewolf
Baseline,0.055154432,0.086040915,0.086040915,0.055555556,0.055555556,0.128760529,0.256718813,0.221018853
B5P,0.046197874,0.102412101,0.102412101,0.056418643,0.056418643,0.11529027,0.331970564,0.14268193
Favor,0.075696407,0.117278966,0.117278966,0.087605975,0.087605975,0.12394025,0.179249092,0.135647961
Strategy,0.063636364,0.060676533,0.060676533,0.042706131,0.042706131,0.158985201,0.302325581,0.204651163
Full,0.089642263,0.070507488,0.070507488,0.053660566,0.053660566,0.210898502,0.132695507,0.228785358
