,Engagement,Wonder,Attraction,Memorization,Variation,
Baseline,8.381336477987421,6.57374213836478,9.10754716981132,10.263309561381451,11.639937106918241,
B5P,8.829174311926607,7.4978593272171254,9.140214067278286,10.56041970293929,11.14046890927625,
Favor,7.407924528301887,5.776415094339622,9.097798742138364,10.289448751367573,13.359014675052412,
Strategy,8.692904761904764,8.047936507936507,9.163809523809523,16.360465368472223,12.176190476190476,
Full,8.730363036303627,7.72112211221122,9.071947194719472,10.99481165571564,12.9983498349835,
